,how many grants started in year
2000,26.0
2001,66.0
2002,68.0
2003,55.0
2004,153.0
2005,328.0
2006,3990.0
2007,4112.0
2008,3825.0
2009,3361.0
2010,3321.0
2011,2731.0
2012,3452.0
2013,3600.0
2014,3236.0
2015,3148.0
2016,3188.0
2017,2843.0
2018,72.0
2019,2.0
