,all funders grants count,all funders grants %,AHRC grants count,AHRC grants %,BBSRC grants count,BBSRC grants %,EPSRC grants count,EPSRC grants %,ESRC grants count,ESRC grants %,Innovate UK grants count,Innovate UK grants %,MRC grants count,MRC grants %,NC3Rs grants count,NC3Rs grants %,NERC grants count,NERC grants %,STFC grants count,STFC grants %
2000,9.0,15.25,0.0,,0.0,,0.0,,0.0,,0.0,,9.0,15.25,0.0,,0.0,,0.0,
2001,3.0,2.42,0.0,,0.0,,0.0,,0.0,,0.0,0.0,3.0,2.56,0.0,,0.0,,0.0,
2002,4.0,3.08,0.0,,0.0,,0.0,,0.0,,0.0,0.0,4.0,3.17,0.0,,0.0,,0.0,
2003,10.0,6.02,0.0,,0.0,,0.0,,0.0,,3.0,10.71,7.0,5.15,0.0,,0.0,,0.0,0.0
2004,17.0,5.18,0.0,,0.0,,0.0,,0.0,,1.0,3.7,14.0,4.95,0.0,,0.0,,2.0,11.11
2005,65.0,10.05,0.0,,0.0,,0.0,,0.0,,21.0,13.12,29.0,6.55,0.0,,0.0,,15.0,34.09
2006,1217.0,23.19,52.0,7.61,96.0,10.85,720.0,41.59,82.0,14.67,24.0,9.45,50.0,10.29,0.0,,150.0,29.07,43.0,32.09
2007,1361.0,25.44,85.0,14.46,141.0,13.7,722.0,42.45,88.0,13.39,20.0,10.2,31.0,6.81,0.0,,208.0,40.0,66.0,32.35
2008,1382.0,25.53,62.0,14.06,189.0,19.33,634.0,41.79,108.0,17.03,21.0,6.69,50.0,9.28,1.0,12.5,220.0,35.2,97.0,27.17
2009,1227.0,22.37,41.0,13.71,142.0,15.81,608.0,41.05,73.0,12.81,38.0,6.99,62.0,11.13,0.0,0.0,164.0,20.92,99.0,29.29
2010,1393.0,23.65,65.0,6.65,203.0,25.15,539.0,41.27,56.0,11.34,93.0,13.9,47.0,10.71,0.0,0.0,327.0,38.88,63.0,18.69
2011,1244.0,23.34,40.0,8.87,145.0,19.46,494.0,46.34,60.0,8.04,145.0,14.08,45.0,11.69,0.0,0.0,258.0,41.82,57.0,20.65
2012,1471.0,24.22,78.0,15.69,209.0,21.09,479.0,46.28,68.0,14.95,224.0,14.51,68.0,13.91,5.0,13.51,243.0,37.5,97.0,25.73
2013,1752.0,25.19,63.0,16.28,158.0,18.12,606.0,49.03,77.0,16.56,377.0,15.36,98.0,17.31,10.0,24.39,291.0,43.56,72.0,26.97
2014,1676.0,25.39,75.0,22.06,240.0,21.6,487.0,46.51,75.0,21.43,409.0,16.78,76.0,16.59,4.0,11.11,220.0,47.01,90.0,25.42
2015,1778.0,25.21,51.0,21.79,205.0,21.16,536.0,51.19,82.0,28.28,488.0,15.79,88.0,15.69,2.0,8.0,223.0,45.79,103.0,29.43
2016,1481.0,28.72,55.0,17.46,139.0,18.05,516.0,48.68,81.0,24.47,245.0,18.98,87.0,16.38,4.0,12.9,260.0,46.35,94.0,35.34
2017,1547.0,25.81,60.0,19.11,169.0,20.12,513.0,43.25,73.0,19.52,324.0,16.96,96.0,16.38,8.0,25.81,211.0,48.84,93.0,29.06
2018,673.0,33.63,38.0,28.36,64.0,17.53,271.0,55.42,35.0,28.93,99.0,22.5,41.0,27.33,2.0,9.52,76.0,43.68,47.0,43.93
2019,3.0,50.0,0.0,,2.0,100.0,1.0,50.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,
2021,1.0,100.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,100.0,0.0,
