,how many grants started in year
2000,0.0
2001,0.0
2002,0.0
2003,2.0
2004,18.0
2005,44.0
2006,134.0
2007,204.0
2008,357.0
2009,338.0
2010,337.0
2011,276.0
2012,377.0
2013,267.0
2014,354.0
2015,350.0
2016,266.0
2017,320.0
2018,107.0
2019,0.0
2021,0.0
