,2000_title_count,2000_abstract_count,2001_title_count,2001_abstract_count,2002_title_count,2002_abstract_count,2003_title_count,2003_abstract_count,2004_title_count,2004_abstract_count,2005_title_count,2005_abstract_count,2006_title_count,2006_abstract_count,2007_title_count,2007_abstract_count,2008_title_count,2008_abstract_count,2009_title_count,2009_abstract_count,2010_title_count,2010_abstract_count,2011_title_count,2011_abstract_count,2012_title_count,2012_abstract_count,2013_title_count,2013_abstract_count,2014_title_count,2014_abstract_count,2015_title_count,2015_abstract_count,2016_title_count,2016_abstract_count,2017_title_count,2017_abstract_count,2018_title_count,2018_abstract_count,2019_title_count,2019_abstract_count,2021_title_count,2021_abstract_count
open source,,,,,,,,,,,,,,9.0,1.0,11.0,1.0,19.0,,10.0,4.0,18.0,1.0,13.0,4.0,26.0,2.0,31.0,1.0,28.0,3.0,26.0,1.0,19.0,,27.0,,13.0,,,,
open-source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programming language,,,,,,,,,,,,,,6.0,,4.0,,12.0,1.0,6.0,,4.0,3.0,3.0,,3.0,,9.0,,4.0,1.0,8.0,,8.0,,3.0,,,,,,
python,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,1.0,,4.0,,3.0,,6.0,1.0,1.0,,2.0,1.0,3.0,,,,
quantitative analysis,,,,,,,,,,,,,1.0,1.0,3.0,9.0,,14.0,4.0,11.0,5.0,8.0,1.0,4.0,,11.0,2.0,5.0,1.0,10.0,3.0,5.0,,13.0,2.0,11.0,,3.0,,,,
r language,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scipy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simulated,,,,,,,,,,,,,1.0,48.0,2.0,49.0,,38.0,,31.0,1.0,48.0,,51.0,1.0,34.0,4.0,51.0,1.0,43.0,,68.0,3.0,42.0,,32.0,3.0,16.0,,,,
simulation,,,,,,,,,,,5.0,5.0,38.0,135.0,36.0,202.0,22.0,137.0,13.0,142.0,20.0,156.0,18.0,153.0,22.0,159.0,30.0,182.0,17.0,154.0,18.0,172.0,13.0,145.0,18.0,151.0,12.0,67.0,,1.0,,
software,,,,,,,,,,1.0,1.0,7.0,22.0,205.0,24.0,221.0,17.0,262.0,19.0,208.0,22.0,261.0,27.0,206.0,16.0,290.0,45.0,388.0,29.0,445.0,37.0,424.0,27.0,296.0,16.0,373.0,14.0,140.0,,,,
spss,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
sqlalchemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stata,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,
