,AHRC_count,BBSRC_count,EPSRC_count,ESRC_count,Innovate UK_count,MRC_count,NC3Rs_count,NERC_count,STFC_count,Total
algorithm,3.0,47.0,395.0,5.0,101.0,16.0,2.0,42.0,21.0,632.0
big data,31.0,12.0,94.0,55.0,120.0,20.0,0.0,14.0,12.0,358.0
beautifulsoup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computation,5.0,34.0,552.0,4.0,17.0,15.0,0.0,21.0,12.0,660.0
computational,53.0,568.0,1797.0,73.0,97.0,160.0,8.0,156.0,150.0,3062.0
computed,4.0,39.0,139.0,5.0,17.0,11.0,1.0,24.0,26.0,266.0
computer,157.0,506.0,2225.0,124.0,287.0,190.0,8.0,674.0,268.0,4439.0
computing,62.0,118.0,1207.0,28.0,189.0,41.0,0.0,130.0,286.0,2061.0
data analysis,27.0,110.0,158.0,90.0,65.0,39.0,0.0,90.0,107.0,686.0
data base,3.0,2.0,7.0,6.0,5.0,1.0,0.0,21.0,3.0,48.0
database,249.0,235.0,227.0,134.0,137.0,108.0,4.0,234.0,18.0,1346.0
microsoft excel,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
ms excel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fortran,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
geographic information science,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
geographic information systems,6.0,0.0,6.0,3.0,0.0,0.0,0.0,4.0,0.0,19.0
gis,43.0,4.0,10.0,25.0,12.0,4.0,0.0,62.0,1.0,161.0
git,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0
github,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
graphics,20.0,19.0,109.0,5.0,37.0,3.0,0.0,4.0,5.0,202.0
high performance computing,1.0,10.0,140.0,1.0,13.0,3.0,0.0,16.0,30.0,214.0
hpc,0.0,15.0,144.0,1.0,12.0,2.0,0.0,5.0,23.0,202.0
imagej,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
in silico,1.0,66.0,34.0,1.0,8.0,11.0,5.0,6.0,1.0,133.0
matlab,0.0,1.0,17.0,1.0,2.0,0.0,0.0,1.0,0.0,22.0
matplotlib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modeling,5.0,80.0,201.0,28.0,18.0,17.0,5.0,152.0,33.0,539.0
modelling,78.0,722.0,2640.0,222.0,483.0,253.0,13.0,1583.0,207.0,6201.0
numpy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nvivo,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0
open source,25.0,39.0,97.0,13.0,40.0,3.0,2.0,26.0,20.0,265.0
open-source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programming language,2.0,3.0,64.0,0.0,0.0,0.0,0.0,4.0,0.0,73.0
python,0.0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,8.0,26.0
quantitative analysis,5.0,28.0,30.0,38.0,5.0,5.0,0.0,12.0,3.0,126.0
r language,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scrapy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scipy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulated,4.0,87.0,184.0,24.0,34.0,15.0,1.0,179.0,30.0,558.0
simulation,20.0,117.0,1281.0,49.0,234.0,36.0,2.0,224.0,104.0,2067.0
software,159.0,400.0,1443.0,111.0,1099.0,103.0,3.0,214.0,273.0,3805.0
spss,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
sqlalchemy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stata,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
statistical,53.0,239.0,592.0,263.0,60.0,282.0,2.0,304.0,80.0,1875.0
supercomputer,0.0,5.0,55.0,0.0,3.0,2.0,0.0,20.0,30.0,115.0
supercomputing,0.0,7.0,31.0,1.0,4.0,0.0,0.0,8.0,7.0,58.0
visualisation,78.0,98.0,165.0,22.0,158.0,18.0,0.0,52.0,24.0,615.0
visualization,26.0,26.0,70.0,7.0,17.0,7.0,0.0,10.0,1.0,164.0
Rcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ggplot2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stringr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reshape2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RColorBrewer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workflow,9.0,25.0,42.0,1.0,80.0,4.0,2.0,9.0,9.0,181.0
wxpython,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
