,Average software spend (£) 2007-2017,Average software spend (% of all funding) 2007-2017
NC3Rs,565277.2863636364,14.11
AHRC,13384950.660606062,21.65
ESRC,28512008.243290044,18.24
MRC,36728787.891937226,12.34
Innovate UK,48644272.09761905,11.15
STFC,51769905.326298706,41.86
NERC,54061532.09425075,38.04
BBSRC,54378399.77532468,21.36
EPSRC,316392143.60787094,43.25
