,2000_title_count,2000_abstract_count,2001_title_count,2001_abstract_count,2002_title_count,2002_abstract_count,2003_title_count,2003_abstract_count,2004_title_count,2004_abstract_count,2005_title_count,2005_abstract_count,2006_title_count,2006_abstract_count,2007_title_count,2007_abstract_count,2008_title_count,2008_abstract_count,2009_title_count,2009_abstract_count,2010_title_count,2010_abstract_count,2011_title_count,2011_abstract_count,2012_title_count,2012_abstract_count,2013_title_count,2013_abstract_count,2014_title_count,2014_abstract_count,2015_title_count,2015_abstract_count,2016_title_count,2016_abstract_count,2017_title_count,2017_abstract_count,2018_title_count,2018_abstract_count,2019_title_count,2019_abstract_count
modelling,,,,,1.0,,,,,1.0,3.0,8.0,102.0,298.0,103.0,422.0,125.0,363.0,94.0,336.0,123.0,421.0,76.0,334.0,80.0,342.0,76.0,397.0,70.0,357.0,66.0,431.0,59.0,396.0,55.0,366.0,,9.0,,
numpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvivo,,,,,,,,,1.0,,,,,2.0,3.0,9.0,1.0,6.0,,5.0,1.0,3.0,,4.0,,,3.0,6.0,1.0,11.0,2.0,10.0,1.0,4.0,1.0,4.0,,,,
open source,,,,,,,,,,,,,,10.0,,11.0,1.0,17.0,,9.0,4.0,15.0,1.0,7.0,3.0,22.0,2.0,17.0,,20.0,3.0,20.0,,15.0,,21.0,,,,
open-source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pipeline,,,,,,,,,,,,2.0,2.0,19.0,3.0,16.0,2.0,23.0,1.0,23.0,3.0,22.0,6.0,19.0,5.0,22.0,6.0,38.0,,38.0,3.0,39.0,5.0,56.0,3.0,54.0,,2.0,,
python,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,1.0,,4.0,,2.0,,6.0,,,,3.0,,,,
quantitative,,1.0,,,,,1.0,,,1.0,1.0,2.0,8.0,120.0,22.0,181.0,13.0,168.0,15.0,157.0,20.0,175.0,9.0,111.0,32.0,150.0,17.0,166.0,9.0,138.0,20.0,144.0,13.0,159.0,13.0,143.0,,1.0,,
regression,,,,,,,,,,,,,1.0,6.0,2.0,7.0,1.0,7.0,,9.0,1.0,5.0,,2.0,2.0,13.0,1.0,7.0,,4.0,,10.0,,9.0,,7.0,,,,
r language,,,,,,,,,,,,1.0,,15.0,,23.0,1.0,15.0,2.0,7.0,1.0,13.0,,17.0,,25.0,,23.0,2.0,15.0,,16.0,,10.0,,11.0,,1.0,,
in r,,1.0,2.0,,,1.0,1.0,7.0,2.0,9.0,10.0,45.0,53.0,779.0,65.0,961.0,48.0,915.0,56.0,753.0,51.0,811.0,44.0,668.0,53.0,927.0,40.0,1036.0,42.0,868.0,43.0,923.0,55.0,958.0,51.0,867.0,1.0,28.0,,
scrapy,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
scipy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simulated,,,,,,,,,,,,,1.0,44.0,2.0,46.0,,31.0,2.0,25.0,1.0,42.0,,39.0,1.0,30.0,2.0,38.0,,36.0,,57.0,3.0,36.0,,20.0,,1.0,,
simulation,,,,,,,,,,,,,37.0,208.0,42.0,263.0,22.0,221.0,16.0,215.0,26.0,227.0,32.0,225.0,24.0,233.0,29.0,267.0,13.0,193.0,21.0,220.0,9.0,195.0,20.0,199.0,,5.0,,
software,,,,,,,,,,,,4.0,21.0,192.0,26.0,211.0,15.0,242.0,16.0,172.0,21.0,192.0,16.0,136.0,9.0,175.0,22.0,223.0,12.0,219.0,14.0,183.0,12.0,164.0,8.0,212.0,1.0,3.0,,
spss,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,
sqlalchemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stata,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,
statisticalsupercomputing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visualisation,,,,,,,,,,,,,8.0,36.0,6.0,34.0,5.0,28.0,7.0,24.0,10.0,37.0,2.0,19.0,7.0,42.0,4.0,40.0,6.0,37.0,4.0,37.0,4.0,42.0,4.0,40.0,,5.0,,
visualization,,,,,,,,,,,,,3.0,9.0,3.0,8.0,2.0,9.0,3.0,11.0,3.0,14.0,1.0,6.0,4.0,9.0,1.0,14.0,,10.0,3.0,11.0,,8.0,,15.0,,,,
Rcpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggplot2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plyr,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
stringr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reshape2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RColorBrewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workflow,,,,,,,,,,,,,,7.0,,4.0,,14.0,1.0,5.0,,7.0,1.0,8.0,,7.0,4.0,9.0,,14.0,3.0,19.0,1.0,21.0,1.0,13.0,,,,
wxpython,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
