,Average software spend (£) 2007-2017,Average software spend (% of all funding) 2007-2017
NC3Rs,499830.0363636364,15.59
AHRC,12547840.592424244,26.21
ESRC,26688509.053896103,22.12
MRC,30953304.347781386,12.24
NERC,46149743.417640686,46.33
STFC,48849808.681168824,47.44
BBSRC,51791164.655627705,24.67
EPSRC,261801743.0099764,50.08
