,AHRC_count,BBSRC_count,EPSRC_count,ESRC_count,MRC_count,NC3Rs_count,NERC_count,STFC_count,Total
algorithm,1.0,13.0,137.0,1.0,3.0,0.0,15.0,10.0,180.0
big data,3.0,1.0,8.0,6.0,1.0,0.0,1.0,0.0,20.0
beautifulsoup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
code,27.0,82.0,96.0,5.0,17.0,0.0,20.0,16.0,263.0
computation,10.0,54.0,226.0,11.0,14.0,0.0,16.0,19.0,350.0
computational,8.0,51.0,187.0,11.0,14.0,0.0,14.0,17.0,302.0
computed,1.0,5.0,9.0,1.0,0.0,0.0,3.0,4.0,23.0
computer,18.0,54.0,223.0,13.0,17.0,0.0,76.0,41.0,442.0
data analysis,2.0,7.0,12.0,8.0,5.0,0.0,10.0,11.0,55.0
data base,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,8.0
database,31.0,27.0,29.0,18.0,10.0,0.0,26.0,7.0,148.0
excel,12.0,24.0,73.0,7.0,15.0,0.0,19.0,16.0,166.0
fortran,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
geographic information science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geographic information systems,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
gis,55.0,62.0,74.0,35.0,18.0,0.0,53.0,9.0,306.0
git,107.0,15.0,103.0,64.0,19.0,1.0,14.0,10.0,333.0
github,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
graphics,3.0,1.0,13.0,5.0,0.0,0.0,1.0,2.0,25.0
high performance computing,0.0,1.0,13.0,0.0,0.0,0.0,2.0,3.0,19.0
hpc,0.0,0.0,16.0,0.0,0.0,0.0,3.0,2.0,21.0
imagej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
implemented in,2.0,2.0,16.0,5.0,1.0,1.0,2.0,1.0,30.0
in silico,0.0,3.0,11.0,0.0,0.0,0.0,0.0,2.0,16.0
matlab,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
matplotlib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,72.0,279.0,538.0,91.0,137.0,11.0,409.0,99.0,1636.0
modeling,0.0,5.0,22.0,3.0,2.0,0.0,13.0,3.0,48.0
modelling,9.0,62.0,243.0,31.0,20.0,0.0,169.0,22.0,556.0
numpy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nvivo,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,8.0
open source,2.0,4.0,5.0,2.0,0.0,0.0,3.0,2.0,18.0
open-source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pipeline,0.0,8.0,11.0,0.0,1.0,0.0,3.0,5.0,28.0
python,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0
quantitative,8.0,29.0,51.0,37.0,11.0,0.0,50.0,3.0,189.0
regression,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,9.0
r language,12.0,1.0,7.0,5.0,1.0,0.0,0.0,0.0,26.0
in r,127.0,234.0,270.0,115.0,114.0,4.0,217.0,52.0,1133.0
scrapy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scipy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulated,0.0,5.0,15.0,4.0,1.0,0.0,16.0,2.0,43.0
simulation,1.0,23.0,175.0,8.0,2.0,0.0,61.0,30.0,300.0
software,17.0,40.0,142.0,10.0,4.0,0.0,25.0,25.0,263.0
spss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sqlalchemy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stata,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
statisticalsupercomputing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
visualisation,13.0,13.0,13.0,1.0,1.0,0.0,9.0,0.0,50.0
visualization,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0
Rcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ggplot2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stringr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reshape2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RColorBrewer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workflow,2.0,11.0,11.0,0.0,0.0,0.0,1.0,0.0,25.0
wxpython,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
