,all funders software spend,all funders spend,software spend as percentage of spend on all grants,AHRC total spend,AHRC software spend,AHRC software spend %,BBSRC total spend,BBSRC software spend,BBSRC software spend %,EPSRC total spend,EPSRC software spend,EPSRC software spend %,ESRC total spend,ESRC software spend,ESRC software spend %,MRC total spend,MRC software spend,MRC software spend %,NC3Rs total spend,NC3Rs software spend,NC3Rs software spend %,NERC total spend,NERC software spend,NERC software spend %,STFC total spend,STFC software spend,STFC software spend %
2018,607238592.252922,1651464436.3681371,36.77,59398667.25,14747175.066666666,24.83,248646972.79999998,61355115.26904762,24.68,688114107.8133116,317157190.6636363,46.09,163154013.0277778,44658555.63095239,27.37,261216574.1343712,48231163.833333336,18.46,2948559.616666666,773076.3500000001,26.22,131438451.80674604,67730457.0154762,51.53,96547089.91926408,52585858.42380953,54.47
2019,450882731.7791126,1210897149.9048257,37.24,35468805.800000004,8674261.316666666,24.46,174808393.17499998,41963237.61904762,24.01,542548607.821645,240560839.78387445,44.34,105230322.27619049,30845988.214285716,29.31,178278068.57960927,34588576.1095238,19.4,1954989.0833333333,445099.8333333333,22.77,99426694.27857143,52244281.37857143,52.55,73181268.8904762,41560447.52380952,56.79
2020,249464127.34935063,728084663.9541848,34.26,19404617.833333332,4765753.283333333,24.56,94655182.4690476,19184336.816666663,20.27,365268080.72283554,141824293.40411255,38.83,65400407.93095238,17569845.083333336,26.87,89363948.71944445,15687886.82142857,17.56,596897.8333333333,230099.3333333333,38.55,59166400.33571429,30710403.314285714,51.91,34229128.1095238,19491509.29285714,56.94
2021,122479692.65411255,357548769.8946609,34.26,7478422.233333332,770018.35,10.3,37317188.45952381,5171130.5,13.86,179365532.76807362,74903936.62792207,41.76,41323198.159523815,9278943.683333334,22.45,43519861.652777776,6200907.033333333,14.25,160078.8333333333,85375.33333333333,53.33,31972062.888095237,18983986.626190476,59.38,16412424.9,7085394.5,43.17
2022,36427862.08463204,96715606.04606782,37.66,407933.5,,,5538234.842857143,877160.2,15.84,69258407.58971861,30389313.3012987,43.88,6543302.166666666,1171784.8333333335,17.91,10591458.225396825,1508586.3333333335,14.24,,,,4179018.2214285713,2283765.9166666665,54.65,197251.5,197251.5,100.0
2023,16078100.30844156,27085339.754184704,59.36,,,,139875.83333333334,,,24380478.593073595,14884065.725108225,61.05,583012.6666666666,160113.5,27.46,1516314.611111111,684142.8333333334,45.12,,,,268406.55,152526.75,56.83,197251.5,197251.5,100.0
2024,3830160.665584416,5274537.340909091,72.62,,,,,,,5122010.590909091,3677633.9155844157,71.8,,,,,,,,,,152526.75,152526.75,100.0,,,
2025,125477.27272727274,125477.27272727274,100.0,,,,,,,125477.27272727274,125477.27272727274,100.0,,,,,,,,,,,,,,,
2026,69720.63636363637,69720.63636363637,100.0,,,,,,,69720.63636363637,69720.63636363637,100.0,,,,,,,,,,,,,,,
2027,69720.63636363637,69720.63636363637,100.0,,,,,,,69720.63636363637,69720.63636363637,100.0,,,,,,,,,,,,,,,
