,keywords in abstract,keywords in abstract %
computational,200.0,0.47
data visualisation,1.0,0.0
high performance computing,15.0,0.04
modeling,34.0,0.08
program,496.0,1.18
programming,26.0,0.06
simulation,226.0,0.54
software,136.0,0.32
software development,9.0,0.02
