,keywords in abstract,keywords in abstract %
computational,235.0,0.56
data visualisation,4.0,0.01
data visualization,3.0,0.01
high performance computing,18.0,0.04
modeling,53.0,0.13
program,714.0,1.69
programming,61.0,0.14
simulation,267.0,0.63
software,223.0,0.53
software developer,5.0,0.01
software development,20.0,0.05
