,keywords in abstract,keywords in abstract %
computational,211.0,0.5
high performance computing,9.0,0.02
modeling,27.0,0.06
program,665.0,1.58
programming,46.0,0.11
simulation,222.0,0.53
software,244.0,0.58
software developer,2.0,0.0
software development,8.0,0.02
