,keywords in abstract,keywords in abstract %
computational,199.0,0.47
data visualisation,4.0,0.01
data visualization,3.0,0.01
high performance computing,7.0,0.02
modeling,30.0,0.07
program,581.0,1.38
programming,39.0,0.09
simulation,199.0,0.47
software,212.0,0.5
software developer,3.0,0.01
software development,12.0,0.03
