,keywords in abstract,keywords in abstract %
computational,193.0,0.46
data visualisation,2.0,0.0
data visualization,2.0,0.0
high performance computing,3.0,0.01
modeling,20.0,0.05
program,612.0,1.45
programming,50.0,0.12
simulation,210.0,0.5
software,196.0,0.47
software developer,2.0,0.0
software development,11.0,0.03
