,keywords in abstract,keywords in abstract %
computational,203.0,0.48
data visualisation,6.0,0.01
data visualization,2.0,0.0
high performance computing,25.0,0.06
modeling,50.0,0.12
program,685.0,1.63
programming,40.0,0.09
simulation,193.0,0.46
software,220.0,0.52
software developer,4.0,0.01
software development,14.0,0.03
