,keywords in abstract,keywords in abstract %
computational,200.0,0.47
data visualisation,2.0,0.0
data visualization,1.0,0.0
high performance computing,21.0,0.05
modeling,33.0,0.08
program,645.0,1.53
programming,38.0,0.09
simulation,217.0,0.51
software,173.0,0.41
software developer,4.0,0.01
software development,18.0,0.04
