,keywords in abstract,keywords in abstract %
computational,193.0,0.46
data visualisation,6.0,0.01
data visualization,3.0,0.01
high performance computing,22.0,0.05
modeling,49.0,0.12
program,697.0,1.65
programming,28.0,0.07
simulation,234.0,0.56
software,175.0,0.42
software developer,3.0,0.01
software development,8.0,0.02
