,keywords in abstract,keywords in abstract %
computational,275.0,0.65
data visualisation,3.0,0.01
data visualization,1.0,0.0
high performance computing,16.0,0.04
modeling,36.0,0.09
program,671.0,1.59
programming,35.0,0.08
simulation,220.0,0.52
software,185.0,0.44
software developer,8.0,0.02
software development,14.0,0.03
