,keywords in abstract,keywords in abstract %
computational,218.0,0.52
data visualization,1.0,0.0
high performance computing,17.0,0.04
modeling,47.0,0.11
program,670.0,1.59
programming,44.0,0.1
simulation,229.0,0.54
software,194.0,0.46
software developer,2.0,0.0
software development,15.0,0.04
